time_slot,start_date,start_time,duration,timezone
1,2024-11-11,16:00,45,America/New_York
1,2024-11-11,16:00,45,America/New_York
1,2024-11-11,16:00,45,America/New_York
2,2024-11-11,18:00,45,America/New_York
2,2024-11-11,18:00,45,America/New_York
2,2024-11-11,18:00,45,America/New_York
3,2024-11-11,21:00,45,America/New_York
3,2024-11-11,21:00,45,America/New_York
3,2024-11-11,21:00,45,America/New_York
4,2024-11-11,23:00,45,America/New_York
4,2024-11-11,23:00,45,America/New_York
4,2024-11-11,23:00,45,America/New_York
